,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate_x,total_trade_count_x,profit_x,mean_earning_rate_y,total_trade_count_y,profit_y,profit_mean,earning_rate_mean,oscillation_ratio_x,oscillation_ratio_y,ratio,ratio2
1,20,930,0.5,0.5,5,1,0.5,0.7,20000,0.01,13,0.13,0.12,16,1.92,1.025,0.071,0.54,0.37,0.083333333,12
76,20,920,0.7,0.9,2,2,0.5,0.5,100,0.09,29,2.61,0.03,29,0.87,1.74,0.060,0.66,0.66,3,0.333333333
14,20,930,0.5,0.7,10,1,0.5,0.5,20000,0.06,11,0.66,0.05,13,0.65,0.655,0.055,0.55,0.38,1.2,0.833333333
34,20,930,0.5,0.9,5,1,0.5,0.7,2000,0.05,45,2.25,0.05,49,2.45,2.35,0.050,0.51,0.53,1,1
30,20,920,0.5,0.9,2,2,0.5,0.5,20000,0.08,14,1.12,0.01,19,0.19,0.655,0.040,0.79,0.58,8,0.125
38,20,930,0.5,0.9,10,1,0.5,0.5,2000,0.04,37,1.48,0,42,0,0.74,0.019,0.57,0.55,#DIV/0!,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
