,index,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate,total_trade_count,oscillation_count,oscillation_ratio,profit
2517,0,20,20200901091000 ,0.7,0.7,10,2,0.5,0.5,100,0.74,5,2,0.4,3.7
2966,0,20,20200901092000 ,0.7,0.9,10,2,0.5,0.7,100,0.94,12,4,0.33,11.28
1646,0,20,20200901101000 ,0.5,0.9,100,1,0.5,0.7,100,0.49,23,7,0.3,11.27
480,0,20,20200901091000 ,0.5,0.5,100,1,0.5,0.5,100,0.72,4,2,0.5,2.88
1056,0,20,20200901091000 ,0.5,0.7,100,1,0.5,0.5,100,0.72,4,2,0.5,2.88
1068,0,20,20200901091000 ,0.5,0.7,100,1,0.5,0.7,100,0.72,3,1,0.33,2.16
1127,0,20,20200901091000 ,0.5,0.7,100,2,0.5,0.5,100,0.72,4,2,0.5,2.88
1631,0,20,20200901091000 ,0.5,0.9,100,1,0.5,0.5,100,0.72,4,2,0.5,2.88
1702,0,20,20200901091000 ,0.5,0.9,100,2,0.5,0.5,100,0.72,4,2,0.5,2.88
1714,0,20,20200901091000 ,0.5,0.9,100,2,0.5,0.7,100,0.72,3,1,0.33,2.16
2788,0,20,20200901091000 ,0.7,0.9,5,1,0.5,0.7,100,0.72,4,0,0,2.88
2906,0,20,20200901091000 ,0.7,0.9,10,1,0.5,0.7,100,0.72,4,0,0,2.88
2907,0,20,20200901092000 ,0.7,0.9,10,1,0.5,0.7,100,1,11,1,0.09,11
1908,0,20,20200901091000 ,0.7,0.5,5,1,0.5,0.7,100,0.71,6,2,0.33,4.26
1348,0,20,20200901092000 ,0.5,0.9,5,1,0.5,0.5,2000,0.44,25,12,0.48,11
1564,0,20,20200901092000 ,0.5,0.9,10,2,0.5,0.5,2000,0.56,19,11,0.58,10.64
641,0,20,20200901092000 ,0.5,0.7,2,1,0.5,0.7,2000,0.35,30,15,0.5,10.5
1216,0,20,20200901092000 ,0.5,0.9,2,1,0.5,0.7,2000,0.32,32,17,0.53,10.24
1144,0,20,20200901092000 ,0.5,0.7,100,2,0.5,0.7,2000,0.69,8,3,0.37,5.52
2848,0,20,20200901092000 ,0.7,0.9,5,2,0.5,0.7,100,0.73,14,6,0.43,10.22
629,0,20,20200901092000 ,0.5,0.7,2,1,0.5,0.5,2000,0.3,33,19,0.58,9.9
2467,0,20,20200901092000 ,0.7,0.7,10,1,0.5,0.7,100,0.89,11,4,0.36,9.79
1070,0,20,20200901093000 ,0.5,0.7,100,1,0.5,0.7,100,0.74,13,5,0.38,9.62
3005,0,20,20200901092000 ,0.7,0.9,100,1,0.5,0.7,100,0.66,5,1,0.2,3.3
3006,0,20,20200901093000 ,0.7,0.9,100,1,0.5,0.7,100,0.66,5,1,0.2,3.3
2789,0,20,20200901092000 ,0.7,0.9,5,1,0.5,0.7,100,0.74,13,2,0.15,9.62
501,0,20,20200901092000 ,0.5,0.5,100,1,0.5,0.7,20000,0.64,2,1,0.5,1.28
1643,0,20,20200901091000 ,0.5,0.9,100,1,0.5,0.7,100,0.64,3,1,0.33,1.92
1432,0,20,20200901092000 ,0.5,0.9,5,2,0.5,0.7,2000,0.36,26,17,0.65,9.36
2458,0,20,20200901091000 ,0.7,0.7,10,1,0.5,0.5,100,0.63,5,2,0.4,3.15
2898,0,20,20200901091000 ,0.7,0.9,10,1,0.5,0.5,100,0.63,5,2,0.4,3.15
2349,0,20,20200901092000 ,0.7,0.7,5,1,0.5,0.7,100,0.7,13,6,0.46,9.1
2957,0,20,20200901091000 ,0.7,0.9,10,2,0.5,0.5,100,0.63,5,2,0.4,3.15
1704,0,20,20200901093000 ,0.5,0.9,100,2,0.5,0.5,100,0.65,14,7,0.5,9.1
493,0,20,20200901092000 ,0.5,0.5,100,1,0.5,0.7,100,0.9,10,2,0.2,9
1436,0,20,20200901092000 ,0.5,0.9,5,2,0.5,0.7,20000,0.6,8,5,0.62,4.8
2077,0,20,20200901091000 ,0.7,0.5,10,2,0.5,0.5,100,0.6,5,2,0.4,3
2085,0,20,20200901091000 ,0.7,0.5,10,2,0.5,0.7,100,0.6,5,2,0.4,3
2466,0,20,20200901091000 ,0.7,0.7,10,1,0.5,0.7,100,0.6,4,1,0.25,2.4
2965,0,20,20200901091000 ,0.7,0.9,10,2,0.5,0.7,100,0.6,4,1,0.25,2.4
777,0,20,20200901092000 ,0.5,0.7,5,1,0.5,0.5,20000,0.59,8,4,0.5,4.72
1352,0,20,20200901092000 ,0.5,0.9,5,1,0.5,0.5,20000,0.59,8,4,0.5,4.72
456,0,20,20200901091000 ,0.5,0.5,100,1,0.3,0.7,100,0.57,8,4,0.5,4.56
1649,0,20,20200901093000 ,0.5,0.9,100,1,0.5,0.7,2000,0.9,10,3,0.3,9
1071,0,20,20200901101000 ,0.5,0.7,100,1,0.5,0.7,100,0.39,23,9,0.39,8.97
2908,0,20,20200901093000 ,0.7,0.9,10,1,0.5,0.7,100,0.64,14,1,0.07,8.96
208,0,20,20200901091000 ,0.5,0.5,5,1,0.5,0.7,2000,0.56,8,2,0.25,4.48
1633,0,20,20200901093000 ,0.5,0.9,100,1,0.5,0.5,100,0.68,13,5,0.38,8.84
1789,0,20,20200901093000 ,0.7,0.5,2,1,0.5,0.7,20000,0.56,1,0,0,0.56
1855,0,20,20200901093000 ,0.7,0.5,2,2,0.5,0.7,20000,0.56,1,0,0,0.56
1705,0,20,20200901101000 ,0.5,0.9,100,2,0.5,0.5,100,0.35,25,13,0.52,8.75
2229,0,20,20200901093000 ,0.7,0.7,2,1,0.5,0.7,20000,0.56,1,0,0,0.56
2295,0,20,20200901093000 ,0.7,0.7,2,2,0.5,0.7,20000,0.56,1,0,0,0.56
2565,0,20,20200901092000 ,0.7,0.7,100,1,0.5,0.7,100,0.56,5,1,0.2,2.8
1204,0,20,20200901092000 ,0.5,0.9,2,1,0.5,0.5,2000,0.25,35,22,0.63,8.75
352,0,20,20200901091000 ,0.5,0.5,10,1,0.5,0.7,2000,0.53,7,3,0.43,3.71
485,0,20,20200901092000 ,0.5,0.5,100,1,0.5,0.5,2000,0.52,9,5,0.56,4.68
1132,0,20,20200901092000 ,0.5,0.7,100,2,0.5,0.5,2000,0.52,9,5,0.56,4.68
1572,0,20,20200901092000 ,0.5,0.9,10,2,0.5,0.7,100,0.31,28,17,0.61,8.68
1103,0,20,20200901091000 ,0.5,0.7,100,2,0.3,0.7,100,0.51,8,4,0.5,4.08
1140,0,20,20200901092000 ,0.5,0.7,100,2,0.5,0.7,100,0.86,10,2,0.2,8.6
552,0,20,20200901091000 ,0.5,0.5,100,2,0.5,0.5,100,0.5,4,2,0.5,2
564,0,20,20200901091000 ,0.5,0.5,100,2,0.5,0.7,100,0.5,4,2,0.5,2
921,0,20,20200901092000 ,0.5,0.7,10,1,0.5,0.5,20000,0.5,6,3,0.5,3
1496,0,20,20200901092000 ,0.5,0.9,10,1,0.5,0.5,20000,0.5,6,3,0.5,3
1500,0,20,20200901092000 ,0.5,0.9,10,1,0.5,0.7,100,0.39,22,6,0.27,8.58
353,0,20,20200901092000 ,0.5,0.5,10,1,0.5,0.7,2000,0.5,17,8,0.47,8.5
209,0,20,20200901092000 ,0.5,0.5,5,1,0.5,0.7,2000,0.38,22,10,0.45,8.36
1488,0,20,20200901092000 ,0.5,0.9,10,1,0.5,0.5,100,0.34,24,9,0.37,8.16
1634,0,20,20200901101000 ,0.5,0.9,100,1,0.5,0.5,100,0.32,25,10,0.4,8
2840,0,20,20200901092000 ,0.7,0.9,5,2,0.5,0.5,100,0.47,17,9,0.53,7.99
925,0,20,20200901092000 ,0.5,0.7,10,1,0.5,0.7,100,0.36,22,12,0.55,7.92
1363,0,20,20200901091000 ,0.5,0.9,5,1,0.5,0.7,20000,0.47,1,0,0,0.47
913,0,20,20200901092000 ,0.5,0.7,10,1,0.5,0.5,100,0.33,24,14,0.58,7.92
1503,0,20,20200901091000 ,0.5,0.9,10,1,0.5,0.7,2000,0.46,5,1,0.2,2.3
2341,0,20,20200901092000 ,0.7,0.7,5,1,0.5,0.5,100,0.49,16,9,0.56,7.84
2781,0,20,20200901092000 ,0.7,0.9,5,1,0.5,0.5,100,0.49,16,6,0.37,7.84
481,0,20,20200901092000 ,0.5,0.5,100,1,0.5,0.5,100,0.7,11,4,0.36,7.7
460,0,20,20200901091000 ,0.5,0.5,100,1,0.3,0.7,2000,0.44,8,4,0.5,3.52
569,0,20,20200901092000 ,0.5,0.5,100,2,0.5,0.7,2000,0.44,8,5,0.62,3.52
1128,0,20,20200901092000 ,0.5,0.7,100,2,0.5,0.5,100,0.7,11,4,0.36,7.7
1720,0,20,20200901093000 ,0.5,0.9,100,2,0.5,0.7,2000,0.7,11,5,0.45,7.7
1568,0,20,20200901092000 ,0.5,0.9,10,2,0.5,0.5,20000,0.44,6,4,0.67,2.64
1148,0,20,20200901092000 ,0.5,0.7,100,2,0.5,0.7,20000,0.43,2,1,0.5,0.86
1491,0,20,20200901091000 ,0.5,0.9,10,1,0.5,0.5,2000,0.43,6,3,0.5,2.58
2899,0,20,20200901092000 ,0.7,0.9,10,1,0.5,0.5,100,0.63,12,4,0.33,7.56
1420,0,20,20200901092000 ,0.5,0.9,5,2,0.5,0.5,2000,0.26,29,20,0.69,7.54
1356,0,20,20200901092000 ,0.5,0.9,5,1,0.5,0.7,100,0.22,34,15,0.44,7.48
2348,0,20,20200901091000 ,0.7,0.7,5,1,0.5,0.7,100,0.42,5,2,0.4,2.1
1563,0,20,20200901091000 ,0.5,0.9,10,2,0.5,0.5,2000,0.41,7,3,0.43,2.87
2958,0,20,20200901092000 ,0.7,0.9,10,2,0.5,0.5,100,0.56,13,6,0.46,7.28
1560,0,20,20200901092000 ,0.5,0.9,10,2,0.5,0.5,100,0.24,30,19,0.63,7.2
781,0,20,20200901092000 ,0.5,0.7,5,1,0.5,0.7,100,0.21,33,19,0.58,6.93
2459,0,20,20200901092000 ,0.7,0.7,10,1,0.5,0.5,100,0.57,12,6,0.5,6.84
1107,0,20,20200901091000 ,0.5,0.7,100,2,0.3,0.7,2000,0.38,8,4,0.5,3.04
2967,0,20,20200901093000 ,0.7,0.9,10,2,0.5,0.7,100,0.45,15,6,0.4,6.75
205,0,20,20200901092000 ,0.5,0.5,5,1,0.5,0.7,100,0.19,35,19,0.54,6.65
341,0,20,20200901092000 ,0.5,0.5,10,1,0.5,0.5,2000,0.35,19,10,0.53,6.65
565,0,20,20200901092000 ,0.5,0.5,100,2,0.5,0.7,100,0.66,10,4,0.4,6.6
444,0,20,20200901091000 ,0.5,0.5,100,1,0.3,0.5,100,0.36,9,6,0.67,3.24
557,0,20,20200901092000 ,0.5,0.5,100,2,0.5,0.5,2000,0.36,9,6,0.67,3.24
1721,0,20,20200901101000 ,0.5,0.9,100,2,0.5,0.7,2000,0.31,21,11,0.52,6.51
1091,0,20,20200901091000 ,0.5,0.7,100,2,0.3,0.5,100,0.36,9,6,0.67,3.24
1359,0,20,20200901091000 ,0.5,0.9,5,1,0.5,0.7,2000,0.36,7,3,0.43,2.52
1058,0,20,20200901093000 ,0.5,0.7,100,1,0.5,0.5,100,0.42,15,8,0.53,6.3
1575,0,20,20200901091000 ,0.5,0.9,10,2,0.5,0.7,2000,0.36,6,2,0.33,2.16
1581,0,20,20200901093000 ,0.5,0.9,10,2,0.5,0.7,20000,0.36,9,6,0.67,3.24
2407,0,20,20200901091000 ,0.7,0.7,5,2,0.5,0.7,100,0.36,7,3,0.43,2.52
2847,0,20,20200901091000 ,0.7,0.9,5,2,0.5,0.7,100,0.36,5,2,0.4,1.8
553,0,20,20200901092000 ,0.5,0.5,100,2,0.5,0.5,100,0.57,11,5,0.45,6.27
1037,0,20,20200901092000 ,0.5,0.7,100,1,0.3,0.7,2000,0.25,25,13,0.52,6.25
857,0,20,20200901092000 ,0.5,0.7,5,2,0.5,0.7,2000,0.26,24,13,0.54,6.24
2107,0,20,20200901091000 ,0.7,0.5,100,1,0.3,0.7,100,0.35,4,2,0.5,1.4
2968,0,20,20200901101000 ,0.7,0.9,10,2,0.5,0.7,100,0.26,24,11,0.46,6.24
