,index,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate,total_trade_count,oscillation_count,oscillation_ratio
238,0,20,20200901093000 ,0.9,0.5,2,2,0.5,0.3,2000,0.98,1,0,0
56,0,20,20200901091000 ,0.9,0.5,2,1,0.3,0.7,100,-1.2,1,1,1
57,0,20,20200901092000 ,0.9,0.5,2,1,0.3,0.7,100,-0.62,5,4,0.8
58,0,20,20200901093000 ,0.9,0.5,2,1,0.3,0.7,100,-0.22,15,10,0.67
59,0,20,20200901101000 ,0.9,0.5,2,1,0.3,0.7,100,-0.23,35,23,0.66
60,0,20,20200901092000 ,0.9,0.5,2,1,0.3,0.7,2000,-0.28,1,1,1
239,0,20,20200901101000 ,0.9,0.5,2,2,0.5,0.3,2000,0.98,1,0,0
244,0,20,20200901093000 ,0.9,0.5,2,2,0.5,0.5,2000,0.98,1,0,0
63,0,20,20200901092000 ,0.9,0.5,2,1,0.3,0.7,20000,-0.28,1,1,1
64,0,20,20200901093000 ,0.9,0.5,2,1,0.3,0.7,20000,-0.09,6,5,0.83
245,0,20,20200901101000 ,0.9,0.5,2,2,0.5,0.5,2000,0.98,1,0,0
66,0,20,20200901091000 ,0.9,0.5,2,1,0.5,0.3,100,-0.65,2,2,1
67,0,20,20200901092000 ,0.9,0.5,2,1,0.5,0.3,100,-0.53,3,3,1
68,0,20,20200901093000 ,0.9,0.5,2,1,0.5,0.3,100,-0.15,4,3,0.75
69,0,20,20200901101000 ,0.9,0.5,2,1,0.5,0.3,100,-0.29,10,8,0.8
691,0,20,20200901093000 ,0.9,0.7,2,1,0.5,0.3,2000,0.98,1,0,0
692,0,20,20200901101000 ,0.9,0.7,2,1,0.5,0.3,2000,0.98,1,0,0
72,0,20,20200901091000 ,0.9,0.5,2,1,0.5,0.5,100,-1.2,1,1,1
73,0,20,20200901092000 ,0.9,0.5,2,1,0.5,0.5,100,-1.34,2,2,1
74,0,20,20200901093000 ,0.9,0.5,2,1,0.5,0.5,100,-0.57,3,2,0.67
75,0,20,20200901101000 ,0.9,0.5,2,1,0.5,0.5,100,-0.46,5,3,0.6
697,0,20,20200901093000 ,0.9,0.7,2,1,0.5,0.5,2000,0.98,1,0,0
698,0,20,20200901101000 ,0.9,0.7,2,1,0.5,0.5,2000,0.98,1,0,0
78,0,20,20200901091000 ,0.9,0.5,2,1,0.5,0.7,100,-1.2,1,1,1
79,0,20,20200901092000 ,0.9,0.5,2,1,0.5,0.7,100,-1.34,2,2,1
80,0,20,20200901093000 ,0.9,0.5,2,1,0.5,0.7,100,-0.71,3,2,0.67
81,0,20,20200901101000 ,0.9,0.5,2,1,0.5,0.7,100,-0.55,5,3,0.6
775,0,20,20200901093000 ,0.9,0.7,2,2,0.5,0.3,2000,0.98,1,0,0
776,0,20,20200901101000 ,0.9,0.7,2,2,0.5,0.3,2000,0.98,1,0,0
84,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.3,100,-0.26,10,8,0.8
85,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.3,100,-0.31,26,21,0.81
86,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.3,100,-0.24,60,45,0.75
87,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.3,100,-0.25,136,113,0.83
88,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.3,2000,-0.74,1,1,1
89,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.3,2000,-0.48,6,5,0.83
90,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.3,2000,-0.19,24,20,0.83
91,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.3,2000,-0.16,45,38,0.84
92,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.3,20000,-0.74,1,1,1
93,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.3,20000,-0.48,6,5,0.83
94,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.3,20000,-0.22,21,19,0.9
95,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.3,20000,-0.17,42,37,0.88
96,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.5,100,-0.31,6,4,0.67
97,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.5,100,-0.38,16,14,0.87
98,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.5,100,-0.27,39,32,0.82
99,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.5,100,-0.29,75,60,0.8
100,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.5,2000,-0.74,1,1,1
101,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.5,2000,-0.55,6,6,1
102,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.5,2000,-0.27,22,20,0.91
103,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.5,2000,-0.24,37,30,0.81
104,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.5,20000,-0.74,1,1,1
105,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.5,20000,-0.55,6,6,1
106,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.5,20000,-0.29,20,19,0.95
107,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.5,20000,-0.25,35,29,0.83
108,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.7,100,-0.74,3,3,1
109,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.7,100,-0.4,13,12,0.92
110,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.7,100,-0.28,35,29,0.83
111,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.7,100,-0.29,69,55,0.8
112,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.7,2000,-0.74,1,1,1
