,index,time,code,price,volume,hoga_sell_amount,hoga_buy_amount
0,0,20200901090343 ,214330,4420,3333270,155930,207904
1,0,20200901090349 ,214330,4420,3405455,154384,192897
2,0,20200901090354 ,214330,4435,3567268,115173,160738
3,0,20200901090359 ,214330,4470,3660727,140230,80097
4,0,20200901090404 ,214330,4495,3796414,81937,77590
5,0,20200901090409 ,214330,4520,3970226,72072,89178
6,0,20200901090414 ,214330,4490,4097973,122282,67487
7,0,20200901090419 ,214330,4505,4181465,124509,51302
8,0,20200901090424 ,214330,4515,4274028,121184,86404
9,0,20200901090429 ,214330,4540,4398861,87827,124218
10,0,20200901090434 ,214330,4545,4500476,92246,237483
11,0,20200901090439 ,214330,4530,4715011,114656,145077
12,0,20200901090444 ,214330,4545,4799806,116670,160829
13,0,20200901090449 ,214330,4590,5004309,114709,126269
14,0,20200901090453 ,214330,4585,5178699,92751,102724
15,0,20200901090458 ,214330,4605,5398807,65945,110912
16,0,20200901090503 ,214330,4565,5565215,101621,75851
17,0,20200901090508 ,214330,4560,5648063,107131,58564
18,0,20200901090513 ,214330,4515,5806281,82263,158882
19,0,20200901090518 ,214330,4535,5874421,36870,178846
20,0,20200901090524 ,214330,4555,5944637,46354,207867
21,0,20200901090529 ,214330,4595,6054446,135721,75513
22,0,20200901090534 ,214330,4615,6233106,99025,38587
23,0,20200901090539 ,214330,4570,6388605,99647,252977
24,0,20200901090544 ,214330,4575,6433996,129166,204718
25,0,20200901090549 ,214330,4585,6498471,120771,206118
26,0,20200901090554 ,214330,4590,6553242,173868,156477
27,0,20200901090559 ,214330,4570,6726104,163842,180017
28,0,20200901090605 ,214330,4545,6815150,134427,269376
29,0,20200901090610 ,214330,4520,6957894,53602,200566
30,0,20200901090615 ,214330,4505,7046717,53628,182411
31,0,20200901090620 ,214330,4555,7104698,118227,254440
32,0,20200901090625 ,214330,4570,7159009,174208,132230
33,0,20200901090630 ,214330,4580,7190928,206825,94410
34,0,20200901090635 ,214330,4555,7268820,195213,163056
35,0,20200901090640 ,214330,4565,7304192,217968,168755
36,0,20200901090645 ,214330,4570,7343740,231194,201425
37,0,20200901090650 ,214330,4570,7371250,295712,238912
38,0,20200901090655 ,214330,4560,7406326,318408,213121
39,0,20200901090700 ,214330,4570,7434385,330034,154659
40,0,20200901090706 ,214330,4555,7484383,293606,212064
41,0,20200901090711 ,214330,4545,7618720,152379,300137
42,0,20200901090716 ,214330,4510,7732106,19095,236236
43,0,20200901090722 ,214330,4545,7855958,119204,142605
44,0,20200901090727 ,214330,4540,7936561,346481,139687
45,0,20200901090732 ,214330,4525,7972411,144572,161278
46,0,20200901090737 ,214330,4530,7999632,136114,163984
47,0,20200901090742 ,214330,4500,8050168,89637,204313
48,0,20200901090747 ,214330,4500,8145852,53172,137581
49,0,20200901090753 ,214330,4500,8246284,31897,84874
50,0,20200901090758 ,214330,4505,8323451,30145,73178
51,0,20200901090803 ,214330,4525,8350484,71335,74824
52,0,20200901090808 ,214330,4540,8373288,138236,61951
53,0,20200901090813 ,214330,4540,8388322,210835,56918
54,0,20200901090818 ,214330,4545,8410789,213303,82796
55,0,20200901090823 ,214330,4545,8520184,396556,50195
56,0,20200901090828 ,214330,4580,8700072,321608,49441
57,0,20200901090833 ,214330,4620,9034073,159662,82418
58,0,20200901090838 ,214330,4610,9131718,161532,69871
59,0,20200901090844 ,214330,4580,9226251,134667,57625
60,0,20200901090849 ,214330,4640,9414503,116908,89333
61,0,20200901090855 ,214330,4600,9538480,63884,81658
62,0,20200901090900 ,214330,4610,9619490,149152,58607
63,0,20200901090906 ,214330,4625,9726969,149875,123672
64,0,20200901090911 ,214330,4655,9931603,208008,115063
65,0,20200901090917 ,214330,4620,10049276,167790,192326
66,0,20200901090922 ,214330,4630,10113839,161081,190121
67,0,20200901090927 ,214330,4625,10216162,168950,170716
68,0,20200901090932 ,214330,4640,10306865,181349,107794
69,0,20200901090938 ,214330,4660,10485635,215289,108392
70,0,20200901090944 ,214330,4640,10566155,129816,147474
71,0,20200901090949 ,214330,4650,10655038,156634,131844
72,0,20200901090955 ,214330,4675,10752251,249126,68757
73,0,20200901091000 ,214330,4695,11032289,74496,162915
74,0,20200901091006 ,214330,4720,11215385,90927,166141
75,0,20200901091011 ,214330,4725,11339749,91133,172973
76,0,20200901091016 ,214330,4755,11515372,275525,217870
77,0,20200901091021 ,214330,4745,11684247,315489,224690
78,0,20200901091027 ,214330,4775,11844810,277357,152008
79,0,20200901091032 ,214330,4765,12067713,231792,82931
80,0,20200901091038 ,214330,4780,12365151,155079,107231
81,0,20200901091045 ,214330,4790,12365378,155079,107231
82,0,20200901091050 ,214330,4790,12365378,0,0
83,0,20200901091211 ,214330,4790,12365378,155079,107231
84,0,20200901091216 ,214330,4790,12365378,155079,107231
85,0,20200901091221 ,214330,4790,12365378,155079,107231
86,0,20200901091227 ,214330,4790,12365378,155079,107231
87,0,20200901091232 ,214330,4790,12365378,155079,107231
88,0,20200901091238 ,214330,4790,12365378,155079,107231
89,0,20200901091243 ,214330,4790,12365378,155079,107231
90,0,20200901091248 ,214330,4790,12365378,155079,107231
91,0,20200901091253 ,214330,4790,12365378,155079,107231
92,0,20200901091258 ,214330,4800,12925471,238689,199139
93,0,20200901091304 ,214330,4820,13142724,120068,171959
94,0,20200901091309 ,214330,4795,13355497,73776,144789
95,0,20200901091314 ,214330,4750,13540676,56934,109708
96,0,20200901091319 ,214330,4770,13758633,100799,86046
97,0,20200901091325 ,214330,4795,13879122,118539,92274
98,0,20200901091330 ,214330,4800,13987702,145413,64096
99,0,20200901091335 ,214330,4840,14247516,123886,120477
100,0,20200901091340 ,214330,4825,14420518,158920,101024
101,0,20200901091346 ,214330,4805,14494160,166604,94930
102,0,20200901091351 ,214330,4780,14632414,189960,79918
103,0,20200901091356 ,214330,4775,14756840,122482,110702
104,0,20200901091402 ,214330,4810,14838518,184890,99905
105,0,20200901091408 ,214330,4795,14941399,172131,124997
106,0,20200901091413 ,214330,4795,14992927,199683,147750
107,0,20200901091419 ,214330,4765,15112144,228204,117094
108,0,20200901091424 ,214330,4745,15262356,32635,128693
109,0,20200901091429 ,214330,4750,15348400,70561,139396
110,0,20200901091435 ,214330,4750,15384900,90279,139714
111,0,20200901091441 ,214330,4795,15470175,231790,95615
112,0,20200901091446 ,214330,4805,15539551,225701,76297
113,0,20200901091451 ,214330,4800,15632965,174305,71110
114,0,20200901091457 ,214330,4790,15698081,197488,100968
115,0,20200901091502 ,214330,4785,15730452,232647,157740
116,0,20200901091508 ,214330,4790,15778641,252519,108017
117,0,20200901091513 ,214330,4760,15826666,89846,189314
118,0,20200901091519 ,214330,4755,15906720,225274,131768
119,0,20200901091524 ,214330,4765,15919073,149316,163246
120,0,20200901091529 ,214330,4790,15967914,320953,162214
121,0,20200901091534 ,214330,4770,15998701,310396,203990
122,0,20200901091540 ,214330,4765,16017526,334474,201503
123,0,20200901091545 ,214330,4755,16094795,196134,214709
124,0,20200901091551 ,214330,4750,16180845,191065,162430
125,0,20200901091557 ,214330,4750,16204564,92927,221251
126,0,20200901091602 ,214330,4755,16258009,196297,176669
127,0,20200901091607 ,214330,4760,16299006,356247,146371
128,0,20200901091612 ,214330,4760,16317162,288424,150410
129,0,20200901091619 ,214330,4755,16333523,226015,194118
130,0,20200901091624 ,214330,4750,16356446,106755,262498
131,0,20200901091629 ,214330,4720,16492162,58106,149695
