time,price,volume
090025,5300,115045
090030,5300,116609
090035,5280,123087
090040,5260,134071
090045,5280,136261
090050,5270,141632
090055,5250,147851
090100,5230,172944
090105,5230,181346
090110,5230,193686
090115,5220,199477
090120,5220,202988
090125,5210,215213
090130,5210,215450
090135,5180,225896
090140,5190,228451
090145,5190,234328
090150,5170,244482
090155,5160,249876
090200,5170,257334
090205,5170,268263
090210,5190,285521
090215,5180,293104
090220,5210,301251
090225,5220,303013
090230,5240,304361
090235,5310,318201
090240,5300,329687
090245,5290,332208
090250,5310,344726
090255,5370,358749
090300,5360,369704
090305,5350,378328
090310,5390,388045
090315,5370,426840
090320,5400,452414
090325,5400,481269
090330,5390,490604
090335,5370,508971
090340,5350,522611
090345,5360,536452
090350,5360,556894
090355,5370,571562
090400,5360,600361
090405,5360,602807
090410,5360,628641
090415,5340,643887
090420,5330,651167
090425,5350,655499
090430,5350,663059
090435,5370,666892
090440,5360,677168
090445,5360,685139
090450,5370,689661
090455,5380,691249
090500,5370,693557
090505,5400,712882
090510,5410,719578
090515,5400,723881
090520,5430,741303
090525,5410,744301
090530,5420,754486
090535,5440,765877
090540,5440,788247
090545,5430,800044
090550,5400,822769
090555,5390,825283
090600,5400,832345
090605,5390,849072
090610,5390,850730
090615,5390,867812
090620,5400,871248
090625,5400,874786
090630,5410,883713
090635,5420,886781
090640,5420,888331
090645,5420,896578
090650,5420,897667
090655,5450,915805
090700,5460,939576
090705,5470,954855
090710,5480,963379
090715,5480,969278
090720,5480,974275
090725,5490,1000390
090730,5510,1079583
090735,5530,1102684
090740,5530,1140824
090745,5540,1166159
090750,5520,1206330
090755,5480,1229098
090800,5450,1249963
090805,5490,1262692
090810,5500,1269241
090815,5500,1274842
090820,5490,1283953
090825,5450,1301631
090830,5450,1310993
090835,5490,1318596
090840,5500,1331479
090845,5500,1347809
090850,5500,1359234
090855,5490,1374374
090900,5470,1382252
090905,5480,1386871
090910,5440,1407544
090915,5430,1417187
090920,5440,1422088
090925,5420,1434002
090930,5420,1440643
090935,5420,1440643
090940,5400,1448279
090945,5400,1459404
090950,5400,1496271
090955,5370,1505553
091000,5350,1516939
091005,5390,1522209
091010,5390,1522209
091015,5390,1533858
091020,5400,1541897
091025,5400,1541897
091030,5420,1545480
091035,5420,1545480
091040,5430,1558946
091045,5420,1568607
091050,5420,1568607
091055,5420,1568607
091100,5390,1597628
091105,5390,1597628
091110,5360,1603334
091115,5360,1603334
091120,5350,1611928
091125,5350,1611928
091130,5310,1631575
091135,5310,1639450
091140,5220,1678874
091145,5180,1700141
091150,5220,1715891
091155,5190,1724368
091200,5180,1727916
091205,5210,1737322
091210,5220,1744382
091215,5220,1748553
091220,5220,1757753
091225,5230,1760436
091230,5240,1764760
091235,5240,1773815
091240,5230,1784474
091245,5230,1784474
091250,5210,1798216
091255,5230,1810562
091300,5220,1813127
091305,5220,1818932
091310,5200,1835391
091315,5230,1837683
091320,5230,1837822
091325,5220,1840301
091330,5220,1845423
091335,5210,1846101
091340,5220,1849388
091345,5220,1851943
091350,5200,1858659
091355,5180,1882219
091400,5140,1928434
091405,5090,1957176
091410,5020,1987905
091415,5050,1999426
091420,5070,2021833
091425,5080,2029370
091430,5050,2048884
091435,5030,2052272
091440,5030,2077714
091445,5060,2097460
091450,5060,2117554
091455,5060,2126568
091500,5040,2140349
091505,5030,2148415
091510,5050,2162599
091515,5050,2167934
091520,5050,2171621
091525,5050,2171621
091530,5070,2204486
091535,5050,2207809
091540,5070,2223205
091545,5040,2228654
091550,5050,2234390
091555,5060,2241829
091600,5060,2241829
091605,5030,2279088
091610,5030,2279088
091615,5020,2317102
091620,5040,2324699
091625,5040,2324699
091630,5050,2340848
091635,5050,2340848
091640,5050,2347693
091645,5050,2347693
091650,5050,2347693
091655,5070,2354640
091700,5070,2354640
091705,5070,2354640
091710,5080,2362404
091715,5090,2366386
091720,5100,2377023
091725,5100,2384185
091730,5100,2384185
091735,5110,2394241
091740,5110,2394241
091745,5130,2399397
091750,5130,2399397
091755,5100,2408447
091800,5100,2408447
091805,5100,2408447
091810,5100,2408447
091815,5070,2418446
091820,5070,2418446
091825,5070,2418446
091830,5070,2418446
091835,5070,2418446
091840,5070,2418446
091845,5010,2446436
091850,5080,2458210
091855,5080,2458210
091900,5080,2458210
091905,5080,2458210
091910,5080,2458210
091915,5080,2469717
091920,5080,2469717
091925,5080,2469717
091930,5080,2469717
091935,5100,2473085
091940,5100,2473085
091945,5100,2473085
091950,5100,2473085
091955,5100,2473085
